channel_id,user_id
ch_1,user_10
ch_1,user_9
ch_1,user_38
ch_1,user_2
ch_1,user_19
ch_1,user_5
ch_1,user_12
ch_1,user_4
ch_1,user_32
ch_1,user_39
ch_1,user_11
ch_2,user_36
ch_2,user_33
ch_2,user_29
ch_2,user_31
ch_2,user_12
ch_2,user_38
ch_2,user_11
ch_2,user_10
ch_2,user_26
ch_2,user_6
ch_3,user_19
ch_3,user_17
ch_3,user_27
ch_3,user_10
ch_3,user_39
ch_3,user_36
ch_3,user_12
ch_3,user_16
ch_3,user_29
ch_3,user_35
ch_3,user_21
ch_3,user_13
ch_4,user_33
ch_4,user_26
ch_4,user_22
ch_4,user_19
ch_4,user_32
ch_4,user_38
ch_4,user_8
ch_4,user_28
ch_4,user_7
ch_4,user_41
ch_4,user_35
ch_4,user_15
ch_4,user_6
ch_4,user_10
ch_4,user_36
ch_4,user_5
ch_4,user_3
ch_4,user_24
ch_4,user_12
ch_4,user_29
ch_5,user_24
ch_5,user_31
ch_5,user_18
ch_5,user_17
ch_5,user_35
ch_5,user_16
ch_6,user_22
ch_6,user_35
ch_6,user_3
ch_6,user_24
ch_6,user_29
ch_6,user_4
ch_6,user_17
ch_6,user_30
ch_7,user_5
ch_7,user_17
ch_7,user_19
ch_7,user_8
ch_7,user_11
ch_7,user_20
ch_7,user_40
ch_7,user_13
ch_7,user_27
ch_7,user_39
ch_7,user_41
ch_7,user_6
ch_8,user_16
ch_8,user_17
ch_8,user_36
ch_8,user_12
ch_8,user_23
ch_9,user_6
ch_9,user_20
ch_9,user_33
ch_9,user_40
ch_9,user_29
ch_9,user_35
ch_9,user_22
ch_9,user_3
ch_9,user_12
ch_9,user_7
ch_9,user_19
ch_9,user_38
ch_10,user_31
ch_10,user_5
ch_10,user_23
ch_10,user_3
ch_10,user_29
ch_10,user_9
ch_10,user_19
ch_10,user_40
ch_10,user_21
ch_10,user_4
ch_10,user_7
ch_10,user_22
ch_10,user_37
ch_10,user_6
ch_10,user_27
ch_10,user_41
ch_10,user_34
ch_10,user_18
ch_10,user_33
ch_10,user_30
ch_11,user_41
ch_11,user_24
ch_11,user_18
ch_11,user_33
ch_11,user_39
ch_11,user_35
ch_11,user_32
ch_11,user_15
ch_11,user_19
ch_11,user_30
ch_11,user_23
ch_11,user_5
ch_11,user_21
ch_11,user_40
ch_12,user_76
ch_12,user_106
ch_12,user_63
ch_12,user_92
ch_12,user_80
ch_12,user_49
ch_12,user_119
ch_12,user_124
ch_12,user_117
ch_12,user_99
ch_12,user_104
ch_12,user_85
ch_12,user_128
ch_13,user_80
ch_13,user_67
ch_13,user_58
ch_13,user_77
ch_13,user_111
ch_14,user_108
ch_14,user_48
ch_14,user_91
ch_14,user_53
ch_14,user_55
ch_14,user_118
ch_14,user_61
ch_14,user_60
ch_14,user_89
ch_14,user_97
ch_14,user_69
ch_14,user_123
ch_14,user_66
ch_15,user_76
ch_15,user_101
ch_15,user_55
ch_15,user_78
ch_15,user_48
ch_15,user_44
ch_15,user_85
ch_15,user_65
ch_15,user_105
ch_15,user_73
ch_15,user_118
ch_15,user_89
ch_15,user_104
ch_15,user_71
ch_15,user_94
ch_15,user_62
ch_15,user_72
ch_15,user_113
ch_16,user_89
ch_16,user_74
ch_16,user_119
ch_16,user_55
ch_16,user_112
ch_16,user_71
ch_16,user_42
ch_16,user_84
ch_16,user_75
ch_16,user_99
ch_16,user_53
ch_16,user_56
ch_16,user_70
ch_16,user_68
ch_17,user_104
ch_17,user_117
ch_17,user_67
ch_17,user_113
ch_17,user_69
ch_17,user_74
ch_17,user_50
ch_17,user_89
ch_17,user_88
ch_17,user_87
ch_17,user_56
ch_17,user_112
ch_17,user_124
ch_17,user_66
ch_17,user_81
ch_17,user_106
ch_17,user_115
ch_18,user_94
ch_18,user_56
ch_18,user_50
ch_18,user_54
ch_18,user_109
ch_18,user_106
ch_19,user_77
ch_19,user_76
ch_19,user_59
ch_19,user_52
ch_19,user_73
ch_19,user_94
ch_19,user_60
ch_19,user_82
ch_19,user_67
ch_19,user_64
ch_19,user_108
ch_19,user_118
ch_19,user_86
ch_20,user_125
ch_20,user_42
ch_20,user_90
ch_20,user_72
ch_20,user_128
ch_20,user_59
ch_20,user_54
ch_20,user_98
ch_20,user_55
ch_20,user_63
ch_20,user_64
ch_20,user_104
ch_21,user_67
ch_21,user_93
ch_21,user_88
ch_21,user_55
ch_21,user_50
ch_21,user_63
ch_21,user_97
ch_21,user_53
ch_22,user_55
ch_22,user_114
ch_22,user_58
ch_22,user_51
ch_22,user_42
ch_22,user_112
ch_22,user_57
ch_22,user_111
ch_22,user_116
ch_22,user_124
ch_22,user_62
ch_22,user_52
ch_22,user_45
ch_22,user_113
ch_22,user_123
ch_22,user_54
ch_22,user_88
ch_22,user_101
ch_22,user_46
ch_23,user_176
ch_23,user_174
ch_23,user_175
ch_23,user_169
ch_23,user_144
ch_23,user_167
ch_23,user_160
ch_23,user_170
ch_23,user_138
ch_23,user_129
ch_23,user_137
ch_24,user_154
ch_24,user_155
ch_24,user_157
ch_24,user_135
ch_24,user_159
ch_24,user_156
ch_24,user_176
ch_24,user_132
ch_25,user_182
ch_25,user_181
ch_25,user_134
ch_25,user_152
ch_25,user_149
ch_26,user_149
ch_26,user_169
ch_26,user_145
ch_26,user_165
ch_26,user_164
ch_26,user_133
ch_26,user_138
ch_26,user_151
ch_26,user_143
ch_26,user_157
ch_26,user_162
ch_27,user_182
ch_27,user_165
ch_27,user_135
ch_27,user_155
ch_27,user_138
ch_27,user_139
ch_27,user_170
ch_27,user_156
ch_27,user_176
ch_27,user_154
ch_27,user_181
ch_27,user_142
ch_27,user_174
ch_27,user_147
ch_27,user_164
ch_28,user_131
ch_28,user_139
ch_28,user_175
ch_28,user_140
ch_28,user_172
ch_28,user_143
ch_28,user_134
ch_28,user_151
ch_28,user_163
ch_28,user_144
ch_28,user_132
ch_28,user_153
ch_28,user_133
ch_28,user_146
ch_29,user_179
ch_29,user_147
ch_29,user_136
ch_29,user_182
ch_29,user_155
ch_29,user_153
ch_29,user_174
ch_29,user_142
ch_30,user_145
ch_30,user_135
ch_30,user_129
ch_30,user_179
ch_30,user_167
ch_30,user_142
ch_30,user_166
ch_30,user_168
ch_30,user_174
ch_30,user_173
ch_30,user_150
ch_31,user_250
ch_31,user_206
ch_31,user_195
ch_31,user_226
ch_31,user_223
ch_31,user_190
ch_31,user_209
ch_31,user_217
ch_31,user_232
ch_31,user_261
ch_31,user_199
ch_31,user_191
ch_31,user_260
ch_32,user_187
ch_32,user_195
ch_32,user_183
ch_32,user_250
ch_32,user_239
ch_32,user_191
ch_32,user_190
ch_32,user_198
ch_32,user_221
ch_32,user_252
ch_32,user_208
ch_33,user_230
ch_33,user_256
ch_33,user_190
ch_33,user_235
ch_33,user_260
ch_33,user_239
ch_33,user_215
ch_33,user_200
ch_33,user_225
ch_33,user_242
ch_33,user_197
ch_34,user_197
ch_34,user_255
ch_34,user_217
ch_34,user_231
ch_34,user_257
ch_34,user_251
ch_34,user_211
ch_34,user_198
ch_34,user_210
ch_34,user_247
ch_34,user_224
ch_34,user_249
ch_34,user_263
ch_34,user_184
ch_34,user_193
ch_35,user_261
ch_35,user_220
ch_35,user_243
ch_35,user_225
ch_35,user_202
ch_36,user_263
ch_36,user_254
ch_36,user_239
ch_36,user_231
ch_36,user_247
ch_36,user_227
ch_36,user_188
ch_36,user_260
ch_36,user_215
ch_36,user_200
ch_36,user_245
ch_37,user_200
ch_37,user_186
ch_37,user_215
ch_37,user_260
ch_37,user_244
ch_37,user_246
ch_37,user_235
ch_37,user_240
ch_37,user_211
ch_37,user_247
ch_37,user_256
ch_37,user_239
ch_37,user_192
ch_37,user_223
ch_37,user_236
ch_38,user_233
ch_38,user_261
ch_38,user_252
ch_38,user_187
ch_38,user_204
ch_38,user_230
ch_38,user_195
ch_38,user_198
ch_38,user_219
ch_38,user_191
ch_38,user_246
ch_38,user_254
ch_38,user_185
ch_38,user_262
ch_38,user_238
ch_38,user_225
ch_38,user_208
ch_38,user_200
ch_38,user_217
ch_38,user_188
ch_39,user_303
ch_39,user_269
ch_39,user_321
ch_39,user_347
ch_39,user_280
ch_39,user_318
ch_40,user_278
ch_40,user_273
ch_40,user_287
ch_40,user_271
ch_40,user_320
ch_40,user_290
ch_40,user_347
ch_40,user_342
ch_40,user_349
ch_40,user_345
ch_41,user_331
ch_41,user_309
ch_41,user_320
ch_41,user_292
ch_41,user_344
ch_41,user_348
ch_41,user_317
ch_41,user_287
ch_41,user_318
ch_41,user_304
ch_41,user_307
ch_41,user_315
ch_42,user_321
ch_42,user_279
ch_42,user_322
ch_42,user_341
ch_42,user_297
ch_42,user_315
ch_42,user_329
ch_42,user_320
ch_42,user_302
ch_42,user_342
ch_43,user_310
ch_43,user_332
ch_43,user_330
ch_43,user_324
ch_43,user_276
ch_43,user_340
ch_43,user_279
ch_43,user_273
ch_43,user_267
ch_44,user_283
ch_44,user_276
ch_44,user_321
ch_44,user_280
ch_44,user_319
ch_44,user_317
ch_44,user_347
ch_44,user_324
ch_44,user_326
ch_44,user_275
ch_44,user_285
ch_44,user_301
ch_44,user_289
ch_44,user_274
ch_45,user_348
ch_45,user_341
ch_45,user_283
ch_45,user_349
ch_45,user_335
ch_45,user_296
ch_45,user_279
ch_45,user_274
ch_45,user_344
ch_45,user_325
ch_45,user_329
ch_45,user_293
ch_45,user_320
ch_45,user_280
ch_45,user_268
ch_45,user_287
ch_45,user_300
ch_45,user_340
ch_45,user_336
ch_45,user_291
ch_46,user_395
ch_46,user_391
ch_46,user_376
ch_46,user_444
ch_46,user_421
ch_46,user_417
ch_46,user_418
ch_46,user_373
ch_46,user_369
ch_46,user_359
ch_46,user_423
ch_46,user_408
ch_46,user_394
ch_46,user_383
ch_46,user_438
ch_46,user_419
ch_47,user_405
ch_47,user_408
ch_47,user_359
ch_47,user_422
ch_47,user_448
ch_47,user_353
ch_47,user_391
ch_47,user_367
ch_47,user_431
ch_47,user_364
ch_47,user_425
ch_47,user_387
ch_47,user_447
ch_48,user_394
ch_48,user_433
ch_48,user_350
ch_48,user_391
ch_48,user_436
ch_48,user_371
ch_48,user_434
ch_48,user_387
ch_49,user_379
ch_49,user_387
ch_49,user_386
ch_49,user_395
ch_49,user_428
ch_49,user_350
ch_49,user_423
ch_49,user_427
ch_49,user_410
ch_49,user_414
ch_49,user_382
ch_49,user_354
ch_49,user_384
ch_49,user_406
ch_49,user_425
ch_49,user_419
ch_49,user_420
ch_49,user_352
ch_49,user_373
ch_50,user_431
ch_50,user_417
ch_50,user_407
ch_50,user_411
ch_50,user_357
ch_50,user_369
ch_50,user_410
ch_50,user_385
ch_50,user_351
ch_50,user_426
ch_50,user_379
ch_50,user_382
ch_50,user_419
ch_50,user_360
ch_50,user_354
ch_50,user_395
ch_50,user_355
ch_51,user_434
ch_51,user_422
ch_51,user_363
ch_51,user_397
ch_51,user_353
ch_51,user_382
ch_51,user_383
ch_51,user_352
ch_51,user_368
ch_51,user_427
ch_51,user_394
ch_51,user_424
ch_51,user_361
ch_51,user_445
ch_51,user_419
ch_51,user_448
ch_51,user_377
ch_51,user_443
ch_51,user_351
ch_52,user_375
ch_52,user_434
ch_52,user_362
ch_52,user_401
ch_52,user_411
ch_52,user_381
ch_52,user_364
ch_52,user_360
ch_52,user_409
ch_52,user_410
ch_52,user_412
ch_52,user_358
ch_52,user_420
ch_52,user_396
ch_52,user_428
ch_52,user_408
ch_52,user_379
ch_53,user_403
ch_53,user_396
ch_53,user_360
ch_53,user_449
ch_53,user_380
ch_53,user_419
ch_53,user_400
ch_53,user_420
ch_53,user_382
ch_53,user_448
ch_53,user_430
ch_54,user_394
ch_54,user_385
ch_54,user_350
ch_54,user_402
ch_54,user_355
ch_54,user_449
ch_54,user_367
ch_54,user_403
ch_55,user_439
ch_55,user_366
ch_55,user_423
ch_55,user_376
ch_55,user_354
ch_55,user_398
ch_55,user_406
ch_55,user_383
ch_55,user_371
ch_55,user_374
ch_55,user_416
ch_55,user_359
ch_55,user_355
ch_55,user_434
ch_55,user_404
ch_55,user_382
ch_55,user_440
ch_55,user_437
ch_56,user_441
ch_56,user_436
ch_56,user_413
ch_56,user_384
ch_56,user_421
ch_56,user_410
ch_56,user_426
ch_56,user_359
ch_56,user_398
ch_56,user_411
ch_56,user_402
ch_57,user_398
ch_57,user_365
ch_57,user_360
ch_57,user_406
ch_57,user_385
ch_57,user_430
ch_57,user_414
ch_57,user_422
ch_58,user_416
ch_58,user_393
ch_58,user_375
ch_58,user_380
ch_58,user_353
ch_58,user_424
ch_58,user_434
ch_58,user_366
ch_58,user_354
ch_58,user_369
ch_58,user_415
ch_58,user_427
ch_58,user_358
ch_59,user_391
ch_59,user_371
ch_59,user_362
ch_59,user_355
ch_59,user_431
ch_59,user_400
ch_60,user_396
ch_60,user_354
ch_60,user_421
ch_60,user_402
ch_60,user_419
ch_60,user_375
ch_60,user_381
ch_60,user_448
ch_60,user_404
ch_61,user_462
ch_61,user_464
ch_61,user_517
ch_61,user_463
ch_61,user_495
ch_61,user_469
ch_61,user_451
ch_61,user_492
ch_61,user_466
ch_61,user_460
ch_61,user_477
ch_61,user_513
ch_61,user_489
ch_61,user_485
ch_61,user_478
ch_61,user_514
ch_61,user_461
ch_61,user_455
ch_61,user_498
ch_62,user_507
ch_62,user_483
ch_62,user_479
ch_62,user_492
ch_62,user_515
ch_62,user_478
ch_62,user_485
ch_62,user_495
ch_62,user_512
ch_62,user_500
ch_62,user_493
ch_63,user_487
ch_63,user_470
ch_63,user_513
ch_63,user_509
ch_63,user_450
ch_63,user_515
ch_63,user_455
ch_63,user_474
ch_63,user_454
ch_63,user_494
ch_63,user_512
ch_63,user_517
ch_64,user_507
ch_64,user_458
ch_64,user_456
ch_64,user_461
ch_64,user_450
ch_64,user_460
ch_64,user_483
ch_64,user_475
ch_64,user_496
ch_65,user_505
ch_65,user_476
ch_65,user_472
ch_65,user_492
ch_65,user_509
ch_65,user_516
ch_65,user_480
ch_65,user_499
ch_65,user_482
ch_65,user_454
ch_65,user_460
ch_65,user_487
ch_65,user_508
